Temperature,Pressure,Time,Depth
350.22638438503145,13039.629047349006,6462943.180394608,48472.07385295954
360.4293996862689,13632.534168542943,6750747.335495166,50630.605016213725
370.6260340463568,14321.586223455859,7085222.434740378,53139.16826055283
380.789836113453,15010.63847346645,7419697.533989802,55647.73150492352
390.9120402922438,15603.544074860254,7707501.689100736,57806.26266825552
401.63407632423576,16116.327441242347,7956413.390735039,59673.10043051279
414.0812714863338,16629.11076063106,8205325.092296006,61539.93819222004
426.73305733989844,17141.893598477,8454236.793848218,63406.77595386162
439.1964900417706,17654.676354696323,8703148.4954085,65273.61371556372
452.07456122255985,18167.45956904085,8952060.196948022,67140.45147711012
466.09033424820353,18680.242373459165,9200971.89842392,69007.2892381794
480.3515745378256,19193.024734883616,9449883.599890111,70874.12699917582
493.1876331763961,19705.807556363638,9698795.301445829,72740.96476084371
506.4280814309343,20218.590833797025,9947707.00297109,74607.80252228316
522.6659407582328,20731.37435266509,10196618.704298178,76474.6402822363
541.3698558723636,21244.157530726992,10445530.405468497,78341.4780410137
557.8640605422943,21756.93999905227,10694442.10679539,80208.31580096544
575.2343447032828,22269.723658124723,10943353.808059683,82075.15356044758
593.6417781143368,22782.506870335346,11192265.50925243,83941.99131939319
610.0290452433056,23295.288612097407,11441177.210587256,85808.82907940439
627.5035853580794,23808.071278152805,11690088.91184174,87675.66683881302
646.1848022436163,24320.85488037557,11939000.613010675,89542.50459758002
662.3009399786442,24833.637665794125,12187912.314363362,91409.34235772517
678.8987542151158,25346.421258982427,12436824.01568079,93276.18011760594
695.5107943722273,25859.20499542178,12685735.716996847,95143.01787747635
712.2510345056733,26371.98794320771,12934647.418306092,97009.85563729567
729.3092137602875,26884.770117466778,13183559.11959531,98876.69339696481
746.5470931530017,27397.552051488103,13432470.820872804,100743.531156546
763.821749547956,27910.33428593483,13681382.522147171,102610.36891610378
780.9902598092906,28423.11736147013,13930294.223427018,104477.20667570263
797.9097008011462,28935.901818757146,14179205.924720947,106344.0444354071
